id,code,name,phase,description,recommend,status,duration,cost,est_duration_min,est_duration_max,est_cost_min,est_cost_max,category,predecessor,ptype,task_landing _page,task_tips,manual_ind,task_type,created_date,updated_date
11,PU006,רכישת דירה,03_purchase,הגיע הרגע הגדול - רכישת הדירה! החתימה על הסכם הרכישה מול החברה המשכנת או מול המוכר הינו שלב משמעותי - כל מה שתצליח להכניס לחוזה בשלב זה יהיה כלול. בהמשך כל שינוי עלול לעלות בתוספת עלות.,יש להבטיח את הסדרי התשלומים בהתאם להתקדמות הבנייה ולהטיח ערבויות להשלמת הבנייה,,,,0,0,0,0,legal,,ApBuyChoose,,"{:|מדריך לרכישת דירה| => |https://www.amitvered.co.il/%D7%A7%D7%A0%D7%99%D7%99%D7%AA-%D7%93%D7%99%D7%A8%D7%94| , :|מדריך לרוכש דירה מקבלן| => |http://www.moch.gov.il/beniyya_hadasha/hagana_al_rochshey_dirot/Pages/hamadrich_lerochesh_dira.aspx| , :|מה חשוב לשאול לפני רכישת דירה| => |http://haotzarsheli.mof.gov.il/News/Pages/Blog-Buying-Apartment.aspx|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
12,PU007,בדיקה משפטית של הבית,03_purchase,"לאחר בחירת הבית אותו תרצה לרכוש, יש לוודא שהנכס אכן שייך לבעליו, לבדוק שעבודים, רישום בטאבו וכו׳",0,,,,0,0,0,0,legal,,HouBuyChoose,,{:|בדיקת מגרש או בית בטרם קניה| => |http://www.rk-law.co.il/%D7%9E%D7%94-%D7%97%D7%A9%D7%95%D7%91-%D7%9C%D7%91%D7%93%D7%95%D7%A7-%D7%9C%D7%A4%D7%A0%D7%99-%D7%A8%D7%9B%D7%99%D7%A9%D7%AA-%D7%9E%D7%92%D7%A8%D7%A9-%D7%90%D7%95-%D7%91%D7%99%D7%AA-%D7%A6%D7%9E%D7%95/| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
13,PU008,רכישת הבית,03_purchase,הגיע הרגע הגדול - רכישת הבית! החתימה על הסכם הרכישה מול החברה המשכנת או למול אדם פרטי הינו שלב משמעותי - כל מה שתצליח להכניס לחוזה בשלב זה יהיה כלול. בהמשך כל שינוי יגרור גם עלות נוספת.,יש להבטיח את הסדרי התשלומים בהתאם להתקדמות הבנייה ולהטיח ערבויות להשלמת הבנייה,,,,0,0,0,0,legal,,HouBuyChoose,,,,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
14,PL002,הגדרת דרישות (פרוגרמה),04_design,"תוכנית ראשונית של הבית. התוכנית מגדירה תיאור כללי של הבית, את הצרכים ואת מסגרת התקציב
- מה חשוב לך בבית? מה הצרכים של משפחתך? לדוגמה, כמה חדרים? סלון גדול או קטן? מטבח פתוח או סגור? בית בקומה אחת או יותר? מרתף. בריכת שחיה?",https://drive.google.com/file/d/0B0cXXlNnXdepYWtaeTBfeUkzelk/edit?usp=sharing,,,,14,60,0,0,architecture,,"ApBuyChoose, ApBuyPlanExe, ApRemPlanExe, HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe,",,"{:|עצות לבניית פרוגרמה| => |http://architecture.org.il/menu_arc.php| , :|פרוגרמה לתכנון בית פרטי| => |http://www.efratmeiri.co.il/2011/06/%D7%A4%D7%A8%D7%95%D7%92%D7%A8%D7%90%D7%9E%D7%94-%D7%9C%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%91%D7%99%D7%AA-%D7%A4%D7%A8%D7%98%D7%99/| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
15,PL001,בחירת אדריכל,04_design,"בחרו את האדריכל איתו תעבדו. 
הבחירה של האדריכל הינה החלטה קריטית במהלך הפרויקט. בחירה של אדריכל שתתחבר אליו ברמה האישית ומתאים לטעמך המקצועי הינה קריטית. נקודות נוספות אותן יש לשקול בעת בחירת האדריכל:
* המלצות
* התרשמות מבתים שהוא בנה
* מידת הרגישות וההקשבה של האדריכל לצרכי הלקוח
* ניסיון  - הניסיון בתחום והיכרות עם האיזור הינם שיקולים מכריעים בבחירה של האדריכל
* מחיר","תכנון הוא השלב המהותי ביותר בפרויקט כך שבחירת איש המקצוע הנכון איתו יש חיבור, חשוב ביותר. תכנון נכון יחסוך מהותית בעלויות ובמשך הפרויקט.
- בעל נסיון והבנה של חיי משפחה
- זמין
- ביצוע תכנון עד היתר
- מכיר את ועדת התכנון המקומית
- תכנון למול תקציב
- ממליצים
- מספק תוכניות",,,,0,0,0,0,customer,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouBldExe, HouIntRemPlanExe, HouIntRemExe, HouExtRemPlanExe, HouExtRemExe",,{:|איך בוחרים אדריכל| => |http://www.bvd.co.il/%D7%90%D7%99%D7%9A_%D7%91%D7%95%D7%97%D7%A8%D7%99%D7%9D_%D7%90%D7%93%D7%A8%D7%99%D7%9B%D7%9C.html| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
16,PL003,בחירת אדריכל או מעצב פנים,04_design,"החלטה האם ברצונך לעבוד עם אדריכל או מעצב פנים, או שתוכל להסתדר ללא שירותיהם. בפרויקט מסוג זה אין הכרח לקחת אדריכל מכיוון שאין שינוי של קווי בניין ואין הכרח ביצירה של תוכניות לרשויות. אם זאת, איש מקצוע אשר יוכל לסייע לך בקבלת החלטות עיצוביות ופונקציונליות עשוי לסייע בתהליך.",0,,,,0,0,0,0,customer,,"ApBuyChoose, ApBuyPlanExe, ApBuyExe, ApRemPlanExe, ApRemExe, HouIntRemPlanExe, HouIntRemExe",,{:|אדריכל או מעצב פנים?| => |https://www.shiplus.co.il/%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%90%D7%93%D7%A8%D7%99%D7%9B%D7%9C%D7%95%D7%AA/%D7%90%D7%93%D7%A8%D7%99%D7%9B%D7%9C-%D7%90%D7%95-%D7%9E%D7%A2%D7%A6%D7%91-%D7%A4%D7%A0%D7%99%D7%9D.html| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
17,PL004,תיק מידע,04_design,"אם טרם שלפת את הנתונים של הנכס, זה הזמן לפנות לרשות ולהוציא מוועדת התכנון את תיק המידע על הנכס. 
בתיק המידע ניתן יהיה לבדוק מה נין לעשות על המבנה  מה זכויות הבניה, מה התב""ע (תכנית בניין עיר - כל ההגדרות  התכנוניות של הרשות המקומית) של השטח - כלומר מה ניתן לבנות בנכס. 
ניתן ללמוד מתיק המידע על ההיסטוריה של הנכס - מי היו הבעלים הקודמים, האם נעשו בו שינויים משמעותיים במהלך השנים, ועוד
כמו כן מומלץ לבדוק את הסביבה הקרובה - מה מתוכנן במגרשים הסמוכים? האם יש שינויים משמעותיים הצפויים באיזור. 
ניתן לעשות את הבדיקה הנ""ל באופן עצמאי, או לבקש מאיש מקצוע (אדריכל ,שמאי וכדומה) לסייע בבדיקה. ",0,,,,7,21,170,170,customer,,"HouBuyChoose, HouBldChoose, HouBuyPlanExe, HouBldPlanExe, HouExtRemPlanExe",,,,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
18,PL005,תכנית טופוגרפית,04_design,"תכנית של המגרש הכוללת גבהים, גבולות וכו׳. התוכנית נדרשת כדי שהאדריכל יוכל להציע על פיה את התיכנון",0,,,,7,14,1500,3000,measures,,"HouBuyChoose, HouBldChoose, HouBldPlanExe, HouExtRemPlanExe",,"{:|בחירת מודד מוסמך| => |http://www.adira.co.il/articles/view/58| , :|מיהו מודד?| => |https://medidot.wordpress.com/%D7%9E%D7%99%D7%94%D7%9F-%D7%94%D7%9E%D7%95%D7%93%D7%93-%D7%A9%D7%90%D7%9C%D7%95%D7%AA-%D7%A0%D7%A4%D7%95%D7%A6%D7%95%D7%AA/| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
19,PL006,החלטה על סוג הבנייה,04_design,"בחירה בסוג הבנייה משפיעה על תיכנון הבית ועל בחירת בעלי המקצוע ולכן נכון לעשותה בשלב זה. קיימים מספר סוגי בנייה: שלד בטון, שלד פלדה, שלד עץ ולכל אחד יתרונות וחסרונות וכמו כן בחירת גמרים שונים: קירות בלוקים, גבס, חיפויים שונים, סוג הגג ועוד","ניתן לנהל את התהליך במקביל לבחירת הקבלן הראשי שיכתיב את סוג השלד, צריך להבין את היתרונות והחסרונות של כל סוג בנייה ולהחליט לפי מההתאמה האישית",,,,30,90,0,0,customer,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouExtRemPlanExe",,,,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
20,PL007,תכנון,04_design,"תכנון  אדריכלי מפורט של הנכס, העונה על מרבית הדרישות ועומד במרבית התנאים שהצבת.",0,,,,30,60,0,0,architecture,,"ApBuyChoose, ApBuyPlanExe, ApRemPlanExe, HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,"{:|תהליך עבודת המתכננת| => |http://www.efratmeiri.co.il/2013/05/%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A2%D7%91%D7%95%D7%93%D7%AA-%D7%94%D7%9E%D7%AA%D7%9B%D7%A0%D7%A0%D7%AA-%D7%91%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%A9%D7%99%D7%A4%D7%95%D7%A5-%D7%90%D7%95-%D7%A2/| , :|תהליך תכנון ובנייה של בית| => |http://levarch.co.il/planning-and-building-a-new-house-process/articles/| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
21,PL008,תכנון הנדסי,04_design,תכנון השלד (הקונסטרוקציה) של של המבנה. מבוצע על פי התוכניות האדריכליות של הבית. ,0,,,,30,60,5000,20000,contruction,,"ApBuyChoose, ApBuyPlanExe, ApRemPlanExe, HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,"{:|תפקידו, אחריותו וסמכויותיו של קונסטרוקטור| => |http://www.citytabu.org.il/?p=273| , :|מה עושה המהנדס בפועל?| => |http://www.bzt.co.il/%D7%9E%D7%94%D7%A0%D7%93%D7%A1-%D7%91%D7%A0%D7%99%D7%99%D7%9F/%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%AA%D7%9B%D7%A0%D7%95%D7%9F-%D7%94%D7%A0%D7%93%D7%A1%D7%99/| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
22,PL009,יעוץ קרקע,04_design,"בהתאם להמלצת הקונסטרוקטור, יתכן שתידרשו לייעוץ קרקע על מנת לבדוק את סוג הקרקע עליה נבנה הבית ובהתאם להחליט על סוג ותכנון היסודות, ",0,,,,7,14,1500,10000,soil_expert,,"HouBldChoose, HouBldPlanExe, HouBldExe, HouExtRemPlanExe, HouExtRemExe",,,,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
23,PL010,דגימת קרקע,04_design,"בהתאם להגדרת יועץ הקרקע, ביצוע דגימה במספר מקומות במגרש, והעברת הדו״ח ליועץ הקרקע",0,,,,2,10,500,10000,soil_sampling,,"HouBldChoose, HouBldPlanExe, HouBldExe, HouExtRemPlanExe, HouExtRemExe",,,,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
24,PL009,הדמייה,04_design,"בניית מודל וירטואלי של הבית בתלת מימד. ההדמיה מספקת הבנה טובה יותר של התכנון ומונעת ״הפתעות״ בהמשך הדרך. 
הדמייה מסייעת להבנת התוכניות, ומומלצות לאנשים אשר אינם בעלי ניסיון רב קריאת תוכניות הנדסיות. השלב מומלץ אבל איננו הכרחי","קיימות תוכנות הדמייה די פשוטות בשוק, ניתן ללמוד אותן לבצע את ההדמייה באופן עצמאי",,,,7,21,5000,25000,rendering,,"ApBuyChoose, ApBuyPlanExe, ApRemPlanExe, HouBuyChoose, HouBuyPlanExe, HouBldPlanExe, HouBldChoose, HouIntRemPlanExe, HouExtRemPlanExe",,{:|למה תלת מימד?| => |http://www.totem3d.co.il/%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%98%D7%95%D7%98%D7%9D-%D7%9C%D7%9E%D7%94-%D7%AA%D7%9C%D7%AA-%D7%9E%D7%9E%D7%93/| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
25,RE001,הגשת תוכניות לאישור הרשות,05_license,העברת התוכנית לועדת התכנון. לתוכניות המוגשות לאישור קוראים גרמושקה. הגרמושקה מכילה את כל הנתונים על הבית והמגרש והיא תהיה הבסיס לאישור הרשויות,"אין חובה שהאדריכל המתכנן יהיה גם עורך הבקשה לועדה, חשוב יותר שעורך הבקשה יכיר היטב את הועדה המקומית, הדרישות שלה והנפשות הפועלות",,,,14,45,0,25000,architecture,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,"{:|מה זאת גרמושקא?| => |http://www.onlinearchitect.org/single-post/2016/1/28/%D7%9B%D7%9C-%D7%9E%D7%94-%D7%A9%D7%A8%D7%A6%D7%99%D7%AA-%D7%9C%D7%93%D7%A2%D7%AA-%D7%A2%D7%9C-%D7%92%D7%A8%D7%9E%D7%95%D7%A9%D7%A7%D7%94| , :|מה זה גרמושקה?| => |https://www.youtube.com/watch?v=FQk6hIuwml0| , :|איך להגיש ולהכין היתר בניה| => |https://www.youtube.com/watch?v=TOFP8jS9zjM|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
26,RE002,ועדת תיכנון ובבניה,05_license,"לאחר הגשת הגרמושקא היא ממתינה בתור לוועדת תיכנון ובניה. עם התכנסות הועה התוכנית תידון. תוצר הועדה הינו רשימת דרישות. עליו למלא את כל הדרישות ברשימה ולהגגישת לרשות, בכדי לקבל היתר בניה. בין הדרישות הנפוצות - אישור ההג""א, אישור מטמנה, הסכם היקקשרות עם מעבדה מוסמכת, ניספח סניטרי ועוד. ",0,,,,0,0,0,0,regulation,,"HouBuyChoose, HouBuyPlanExe, HouBuyExe, HouBldChoose, HouBldPlanExe, HouBldExe, HouIntRemPlanExe, HouIntRemExe, HouExtRemPlanExe, HouExtRemExe",,,,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
27,RE003,אישור פיקוד העורף,05_license,"אם נתבקשת ברשימת הדרשות שהתקבלו מהוועדה, יש להגיש לפיקוד העורף תוכנית לאישור הממ""ד. ",0,,,,7,30,0,0,architecture,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,{:|אישור הג״א| => |http://www.oref.org.il/Mobile/10819-he/Pakar.aspx| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
28,RE004,רשות מקרקעי ישראל (רמ״י),05_license,"אם נתבקשת ברשימת הדרשות שהתקבלו מהוועדה, יש להגיש את התוכנית לאישור רשות מנהל מקרקעי ישראל ",0,,,,7,30,0,0,architecture,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,{:|אישור מנהל מקרקעי ישראל להיתר בנייה| => |http://www.mmi.gov.il/static/faq5.asp| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
29,RE005,אגרות בניה,05_license,תשלום אגרה על מנת לפתוח בהליך בדיקת הבקשה מול רשויות התכנון,0,,,,1,3,0,0,customer,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,{:|תהליך הרישוי| => |http://anibone.co.il/%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A8%D7%99%D7%A9%D7%95%D7%99-%D7%9C%D7%A7%D7%91%D7%9C%D7%AA-%D7%94%D7%99%D7%AA%D7%A8-%D7%91%D7%A0%D7%99%D7%99%D7%94-3/| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
30,RE006,תכנית סניטרית,05_license,"אם נתבקשת ברשימת הדרשות שהתקבלו מהוועדה, יש להכין תוכנית תכנון הביוב בנכס ומחוץ לו.",0,,,,7,14,1500,10000,plumbing,,"HouBuyChoose, HouBuyPlanExe, HouBldChoose, HouBldPlanExe, HouIntRemPlanExe, HouExtRemPlanExe",,"{:|הסבר על אינסטלציה לבית| => |http://bonimbayit.co.il/bonim/plum| , :|19 טיפים לאינסטלציה| => |http://bonimbayit.co.il/bonim/19-d798d799d7a4d799d79d-d7a2d79c-d790d799d7a0d7a1d798d79cd7a6d799d794| , :|תכנון צנרת אינסטלציה| => |https://www.youtube.com/watch?v=pUn-8YuxBtY|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
